1_a_d,1_b_d
2_a_d,2_b_d
2_a_d,2_c_d
2_b_d,2_c_d
3_a_d,3_b_d
4_a_d,4_b_d
5_a_d,5_b_d
6_a_d,6_b_d
7_a_d,7_b_d
7_a_d,7_c_d
7_b_d,7_c_d
8_a_d,8_b_d
9_a_d,9_b_d
10_a_d,10_b_d
12_a_d,12_b_d
13_a_d,13_b_d
13_a_d,13_c_d
13_b_d,13_c_d
15_a_d,15_b_d
16_a_d,16_b_d
18_a_d,18_b_d
18_a_d,18_c_d
18_a_d,18_d_d
18_b_d,18_c_d
18_b_d,18_d_d
18_c_d,18_d_d
19_a_d,19_b_d
20_a_d,20_b_d
21_a_d,21_b_d
22_a_d,22_b_d
23_a_d,23_b_d
24_a_d,24_b_d
24_a_d,24_c_d
24_a_d,24_d_d
24_a_d,24_e_d
24_b_d,24_c_d
24_b_d,24_d_d
24_b_d,24_e_d
24_c_d,24_d_d
24_c_d,24_e_d
24_d_d,24_e_d
25_a_d,25_b_d
26_a_d,26_b_d
27_a_d,27_b_d
28_a_d,28_b_d
30_a_d,30_b_d
31_a_d,31_b_d
32_a_d,32_b_d
33_a_d,33_b_d
33_a_d,33_c_d
33_b_d,33_c_d
35_a_d,35_b_d
36_a_d,36_b_d
37_a_d,37_b_d
38_a_d,38_b_d
39_a_d,39_b_d
40_a_d,40_b_d
41_a_d,41_b_d
42_a_d,42_b_d
42_a_d,42_c_d
42_b_d,42_c_d
43_a_d,43_b_d
44_a_d,44_b_d
44_a_d,44_c_d
44_c_d,44_b_d
45_a_d,45_b_d
46_a_d,46_b_d
47_a_d,47_b_d
48_a_d,48_b_d
48_a_d,48_c_d
48_b_d,48_c_d
49_a_d,49_b_d
49_a_d,49_c_d
49_c_d,49_b_d
50_a_d,50_b_d
50_a_d,50_c_d
50_c_d,50_b_d
51_a_d,51_b_d
52_a_d,52_b_d
53_a_d,53_b_d
54_a_d,54_b_d
55_a_d,55_b_d
55_a_d,55_c_d
55_c_d,55_b_d
56_a_d,56_b_d
57_a_d,57_b_d
58_a_d,58_b_d
59_a_d,59_b_d
60_a_d,60_b_d
61_a_d,61_b_d
63_a_d,63_b_d
63_a_d,63_c_d
63_c_d,63_b_d
64_a_d,64_b_d
65_a_d,65_b_d
66_a_d,66_b_d
66_a_d,66_c_d
66_a_d,66_d_d
66_a_d,66_e_d
66_b_d,66_c_d
66_b_d,66_d_d
66_b_d,66_e_d
66_c_d,66_d_d
66_c_d,66_e_d
66_d_d,66_e_d
68_a_d,68_b_d
69_a_d,69_b_d
69_a_d,69_c_d
69_c_d,69_b_d
70_a_d,70_b_d
71_a_d,71_b_d
72_a_d,72_b_d
73_a_d,73_b_d
74_a_d,74_b_d
75_a_d,75_b_d
76_a_d,76_b_d
77_a_d,77_b_d
78_a_d,78_b_d
79_a_d,79_b_d
80_a_d,80_b_d
81_a_d,81_b_d
82_a_d,82_b_d
84_a_d,84_b_d
84_a_d,84_c_d
84_c_d,84_b_d
85_a_d,85_b_d
86_a_d,86_b_d
87_a_d,87_b_d
87_a_d,87_c_d
87_c_d,87_b_d
88_a_d,88_b_d
89_a_d,89_b_d
90_a_d,90_b_d
91_a_d,91_b_d
91_a_d,91_c_d
91_a_d,91_d_d
91_b_d,91_c_d
91_b_d,91_d_d
91_c_d,91_d_d
92_a_d,92_b_d
93_a_d,93_b_d
94_a_d,94_b_d
95_a_d,95_b_d
96_a_d,96_b_d
97_a_d,97_b_d
98_a_d,98_b_d
99_a_d,99_b_d
99_a_d,99_c_d
99_c_d,99_b_d
100_a_d,100_b_d
101_a_d,101_b_d
102_a_d,102_b_d
102_a_d,102_c_d
102_c_d,102_b_d
103_a_d,103_b_d
104_a_d,104_b_d
105_a_d,105_b_d
106_a_d,106_b_d
107_a_d,107_b_d
107_a_d,107_c_d
107_c_d,107_b_d
108_a_d,108_b_d
109_a_b,109_b_d
110_a_d,110_b_d
111_a_d,111_b_d
112_a_d,112_b_d
113_a_d,113_b_d
114_a_d,114_b_d
114_a_d,114_c_d
114_c_d,114_b_d
115_a_d,115_b_d
116_a_d,116_b_d
116_a_d,116_c_d
116_c_d,116_b_d
117_a_d,117_b_d
118_a_d,118_b_d
119_a_d,119_b_d
120_a_d,120_b_d
121_a_d,121_b_d
122_a_d,122_b_d
123_a_d,123_b_d
